자치구명,건물면적,토지면적,층,건축년도,경도,위도,읍면동명,월평균소득,동별세대수,동별세대당인구,20세미만인구,20세이상인구,주택가격(만원)
중랑구,29.23,18.0,6.0,2022.0,127.08476285667976,37.583801581822975,면목제2동,2322173.0,12138,1.91,10715,119617,41000
강북구,15.885,13.0,5.0,2015.0,127.0266467847924,37.63314479249497,삼양동,2473211.0,11616,2.09,13101,111124,9050
마포구,53.19,31.0,4.0,1994.0,126.9612748040506,37.54756070751894,아현동,5237419.0,12370,2.35,2902,22186,46000
강서구,58.46,30.0,3.0,2002.0,126.81094389821423,37.56919288798812,공항동,2896818.0,13889,2.11,5459,54460,29800
광진구,52.54,21.0,4.0,1993.0,127.08774434455236,37.5692615305879,중곡제1동,2542359.0,8672,1.74,5978,70958,20000
성북구,68.73,41.0,2.0,2017.0,127.0097336883481,37.61098854631405,정릉제1동,3341356.0,7294,2.4,8078,67167,35000
강북구,55.98,36.0,5.0,2018.0,127.01728709207153,37.63209104748823,수유1동,2220463.0,10493,1.86,7930,90942,32000
양천구,28.0,17.0,5.0,2016.0,126.8630446135202,37.5439999316409,목1동,5667672.0,10323,2.91,24023,117070,20500
구로구,42.11,24.0,3.0,2006.0,126.85325775962554,37.50122214765477,고척제1동,2972418.0,11659,2.26,5800,45079,26000
구로구,59.78,38.0,3.0,1997.0,126.85408263713798,37.491185324917566,개봉제1동,2805757.0,15247,2.18,8142,71996,23000
구로구,49.42,28.0,5.0,2009.0,126.849585355253,37.49394569354616,개봉제1동,2805757.0,15247,2.18,8142,71996,15500
은평구,45.25,31.0,3.0,2007.0,126.92112045191784,37.62526144449418,불광제1동,3182963.0,18150,2.06,5303,57959,37000
구로구,29.9,14.0,5.0,2016.0,126.88035691618892,37.51341565537857,신도림동,4380318.0,14382,2.5,5564,29482,22500
영등포구,25.29,5.0,11.0,2019.0,126.90892736299384,37.52556174191057,영등포동,3570107.0,22433,1.39,862,8800,29500
강동구,18.4,11.0,2.0,2010.0,127.12477794194152,37.547917574179166,천호제1동,2473111.0,12918,1.97,6667,78755,19000
은평구,29.23,10.0,8.0,2016.0,126.919257090933,37.59881756321718,응암제1동,2726133.0,15072,2.13,9854,70904,23500
노원구,48.89,30.0,2.0,1996.0,127.05766485455338,37.67552742908508,중계4동,3196660.0,8184,2.3,22054,169138,19500
양천구,29.72,19.0,5.0,2016.0,126.8692144801362,37.5407116093052,목1동,5667672.0,10323,2.91,24023,117070,26200
도봉구,50.25,34.0,2.0,2008.0,127.03470985799906,37.64215339843487,창제1동,3038009.0,10939,2.16,11946,100519,18800
서대문구,53.58,44.0,4.0,2017.0,126.95473574798552,37.56577568144782,북아현동,4172659.0,7051,2.17,3196,23400,54500
은평구,57.69,33.0,3.0,2011.0,126.922484507314,37.62384025821215,불광제1동,3182963.0,18150,2.06,5303,57959,35500
관악구,52.5,24.0,2.0,1993.0,126.92088485509171,37.47625150083869,서원동,2412001.0,15455,1.49,15528,223346,11700
강서구,56.36,32.0,3.0,1995.0,126.84916292098292,37.53289303142173,화곡제1동,2485455.0,27977,1.78,20096,189853,18500
